load_case,outcome,male_exponent,male_ci95_low,male_ci95_high,female_exponent,female_ci95_low,female_ci95_high,sex_slope_interaction_beta,sex_slope_interaction_p,adj_r2,n,interaction_p_fdr_bh
SP2leg,rot_mag_deg,-0.333767776777904,-0.9310096810784267,0.26347412752261873,-0.30557499152208867,-0.7616820848684289,0.15053210182425164,0.02819278525581531,0.9342272778831034,0.3829901820674204,278,0.9584885371262339
SP2leg,trans_mag_mm,-0.22733996575079618,-0.5617567079076955,0.10707677640610319,-0.21051865288736943,-0.504878382603113,0.08384107682837416,0.016821312863426738,0.9346960958120591,0.4684546710963281,278,0.9584885371262339
SP1leg,rot_mag_deg,-0.4822522928326429,-0.8701925340704004,-0.09431205159488543,-0.427712791091107,-0.7620396209228335,-0.09338596125938042,0.05453950174153591,0.8118880969701697,0.38173259415463434,278,0.9584885371262339
SP1leg,trans_mag_mm,-0.5692056574244496,-0.8690023676451746,-0.2694089472037246,-0.4318676541428039,-0.669428756912221,-0.19430655137338684,0.13733800328164572,0.4356844751005755,0.49998547113851366,278,0.9584885371262339
LAB_phase1,rot_mag_deg,-0.17158609475025693,-0.8456470905468527,0.502474901046339,-0.4159507230222529,-0.9592918633123189,0.12739041726781308,-0.24436462827199593,0.5436214172603107,0.2667075731051972,278,0.9584885371262339
LAB_phase1,trans_mag_mm,-0.17665391030690275,-0.664564078788379,0.3112562581745735,-0.4187886649176102,-0.9142180478180886,0.07664071798286826,-0.24213475461070744,0.4142118914137475,0.3542630356963602,278,0.9584885371262339
LAB_phase2,rot_mag_deg,-0.22777828517361706,-1.0203144501532218,0.5647578798059877,-0.3339665761438667,-0.8913990853318048,0.22346593304407136,-0.10618829097024968,0.8034324880244084,0.26881160635677037,278,0.9584885371262339
LAB_phase2,trans_mag_mm,-0.3667196754395485,-0.9039414891983064,0.17050213831920952,-0.6138000926944094,-1.0614126845337695,-0.16618750085504919,-0.2470804172548609,0.42983919030710405,0.3745927220359726,278,0.9584885371262339
LAB_phase3,rot_mag_deg,-0.4975992574566085,-1.1694220430252003,0.17422352811198316,-0.5183745581707475,-1.0476646105960095,0.010915494254514324,-0.020775300714139078,0.9584885371262339,0.366578725384029,278,0.9584885371262339
LAB_phase3,trans_mag_mm,-0.21981395707292317,-0.7196237232757887,0.2799958091299423,-0.2706123294658465,-0.7076703140982481,0.16644565516655502,-0.05079837239292334,0.8644376893669075,0.31003930826085857,278,0.9584885371262339
