load_case,metric,median_delta,ci95_low,ci95_high,p_value,cohen_dz,p_fdr_bh
SP1leg,ap_trans_abs_mm,0.07242433360414227,0.044535164443225646,0.09599520693495175,8.750495912350298e-23,0.6814420937837515,1.312574386852545e-22
SP1leg,ml_trans_abs_mm,0.0049483104607584705,-0.004217905456870883,0.014559502725506615,0.09463845893820368,0.18224518311560942,0.1135661507258444
SP1leg,cc_trans_abs_mm,0.3937068899264845,0.34684312733250855,0.43448753901381987,1.5761168649845287e-43,1.21118661934419,4.728350594953586e-43
LAB_phase1,ap_trans_abs_mm,0.015477690344278157,-0.03706506361520262,0.049567567534963164,0.8402184607103707,-0.02027218844995761,0.8402184607103707
LAB_phase1,ml_trans_abs_mm,0.08578676864495721,0.0773758253237745,0.09529848136718702,5.029578027659528e-31,0.97768107525471,1.0059156055319056e-30
LAB_phase1,cc_trans_abs_mm,-0.8504063995075309,-0.8807681895548759,-0.8114980988760634,2.580221442677115e-47,-2.8636984822106424,1.1879091059935386e-46
LAB_phase2,ap_trans_abs_mm,0.16255960570505304,0.10151866942326418,0.21300208774703883,3.990288901107823e-08,0.3445114165639807,5.3203852014770974e-08
LAB_phase2,ml_trans_abs_mm,0.14474062190527676,0.13231910503500857,0.15973135382111972,1.3226235658133142e-36,1.199532468955302,3.174296557951954e-36
LAB_phase2,cc_trans_abs_mm,-0.9028992449043272,-0.9312728665708776,-0.8532347580648532,2.9697727649838465e-47,-2.6174158271881054,1.1879091059935386e-46
LAB_phase3,ap_trans_abs_mm,-0.0005272464565134194,-0.011545944485749401,0.014522640123245126,0.4931302155239021,0.059086863994651434,0.5379602351169842
LAB_phase3,ml_trans_abs_mm,-0.04136794680584967,-0.05163927552786232,-0.03276882263016831,6.15102072303916e-26,-0.7879675843850895,1.0544606953781417e-25
LAB_phase3,cc_trans_abs_mm,-0.5858074234308571,-0.6094163478334819,-0.5441929706549298,2.418014348569743e-47,-3.1163777239123176,1.1879091059935386e-46
