load_case,outcome,male_exponent,male_ci95_low,male_ci95_high,female_exponent,female_ci95_low,female_ci95_high,sex_slope_interaction_beta,sex_slope_interaction_p,adj_r2,male_p,female_p,n,male_q,female_q,interaction_p_fdr_bh
SP2leg,rot_mag_deg,-0.6794267760928803,-0.8901552828453017,-0.4686982693404589,-0.6053800528132692,-0.7643229873712432,-0.4464371182552953,0.07404672327961107,0.5597123590362449,0.6185298314177379,2.6259083302900005e-10,8.315685619078719e-14,278,5.251816660580001e-10,2.7718952063595734e-13,0.6986813364664455
SP2leg,trans_mag_mm,-0.3655555526460704,-0.5307857097053459,-0.20032539558679494,-0.40171301538633386,-0.5218459738073573,-0.28158005696531047,-0.036157462740263435,0.6986813364664455,0.74279454725462,1.448957519892636e-05,5.599691025655027e-11,278,1.7046559057560424e-05,1.244375783478895e-10,0.6986813364664455
SP1leg,rot_mag_deg,-0.622095887354251,-0.8951359283087297,-0.34905584639977244,-0.5497103689197942,-0.7602098235047763,-0.33921091433481215,0.07238551843445688,0.6348213975005796,0.4059883831108563,7.981689691610511e-06,3.0804609862796523e-07,278,1.0642252922147348e-05,4.400658551828075e-07,0.6986813364664455
SP1leg,trans_mag_mm,-0.4595836121482195,-0.7107940733514276,-0.2083731509450114,-0.39715189369314324,-0.5911721759436455,-0.20313161144264105,0.06243171845507626,0.6653133540278534,0.5201665852953263,0.00033608023307445464,6.0195536600894776e-05,278,0.0003537686663941628,6.688392955654975e-05,0.6986813364664455
LAB_phase1,rot_mag_deg,-0.9156960278542495,-1.1440675078861196,-0.6873245478223795,-1.0621209132222844,-1.2327529022849741,-0.8914889241595947,-0.14642488536803488,0.29419024325766174,0.7153549138398392,3.873103331736982e-15,3.097804559020282e-34,278,1.5492413326947927e-14,6.195609118040564e-33,0.5883804865153235
LAB_phase1,trans_mag_mm,-0.5675626922630114,-0.9253050098865649,-0.2098203746394578,-1.003447249342989,-1.2702961056087174,-0.7365983930772604,-0.4358845570799776,0.03432832765267021,0.48228325318224874,0.001873632548395953,1.7024217848740662e-13,278,0.001873632548395953,4.864062242497332e-13,0.34328327652670204
LAB_phase2,rot_mag_deg,-0.540518093331258,-0.7139013890953884,-0.36713479756712764,-0.6737087501458419,-0.8038755985902688,-0.5435419017014149,-0.13319065681458384,0.19768422330678914,0.43237839093707964,9.947454283573736e-10,3.508019807164646e-24,278,1.6579090472622894e-09,2.3386798714430972e-23,0.49421055826697285
LAB_phase2,trans_mag_mm,-0.817632635193551,-1.1793760659321193,-0.45588920445498265,-0.946549469630255,-1.2871446632208516,-0.6059542760396585,-0.12891683443670404,0.5814374607408574,0.3434943162190267,9.41889274993935e-06,5.1213835893633446e-08,278,1.1773615937424186e-05,7.879051675943607e-08,0.6986813364664455
LAB_phase3,rot_mag_deg,-0.8497532524921785,-1.0481167352799947,-0.6513897697043622,-1.0452593874659173,-1.2398583338768987,-0.8506604410549359,-0.19550613497373892,0.11710002734733814,0.7197012347994081,4.608255583242055e-17,6.428641350480365e-26,278,2.3041277916210274e-16,6.428641350480365e-25,0.49421055826697285
LAB_phase3,trans_mag_mm,-0.6999876997478145,-0.9218551936714287,-0.47812020582420034,-0.9038272782476451,-1.1589018915387497,-0.6487526649565405,-0.20383957849983056,0.17920864500935896,0.7135146392206264,6.259151023926707e-10,3.7837335249107805e-12,278,1.1380274588957649e-09,9.45933381227695e-12,0.49421055826697285
