load_case,outcome,male_exponent_scale,male_ci95_low,male_ci95_high,female_exponent_scale,female_ci95_low,female_ci95_high,sex_slope_interaction_beta_scale,sex_slope_interaction_p_scale,adj_r2,n,interaction_p_fdr_bh_scale
SP2leg,rot_mag_deg,-1.0013033303337042,-2.7930290432353027,0.7904223825678942,-0.916724974566258,-2.2850462546052697,0.4515963054727534,0.08457835576744621,0.9342272778831038,0.3829901820674204,278,0.9584885371262465
SP2leg,trans_mag_mm,-0.6820198972524119,-1.6852701237231411,0.3212303292183174,-0.6315559586621097,-1.5146351478093343,0.25152323048511505,0.05046393859030218,0.9346960958120316,0.4684546710963282,278,0.9584885371262465
SP1leg,rot_mag_deg,-1.4467568784979394,-2.610577602211235,-0.28293615478464385,-1.2831383732733195,-2.2861188627684936,-0.2801578837781453,0.16361850522462001,0.8118880969701574,0.38173259415463456,278,0.9584885371262465
SP1leg,trans_mag_mm,-1.7076169722733532,-2.607007102935552,-0.8082268416111547,-1.2956029624284116,-2.008286270736659,-0.5829196541201643,0.41201400984494163,0.4356844751005753,0.49998547113851377,278,0.9584885371262465
LAB_phase1,rot_mag_deg,-0.5147582842507704,-2.536941271640598,1.507424703139057,-1.247852169066749,-2.877875589936937,0.3821712518034388,-0.7330938848159785,0.5436214172603195,0.2667075731051971,278,0.9584885371262465
LAB_phase1,trans_mag_mm,-0.5299617309207332,-1.9936922363651954,0.9337687745237291,-1.2563659947528298,-2.742654143454258,0.2299221539485985,-0.7264042638320967,0.41421189141376846,0.3542630356963602,278,0.9584885371262465
LAB_phase2,rot_mag_deg,-0.6833348555208181,-3.060943350459685,1.6942736394180486,-1.0018997284315942,-2.6741972559954026,0.6703977991322141,-0.3185648729107762,0.8034324880243939,0.26881160635677026,278,0.9584885371262465
LAB_phase2,trans_mag_mm,-1.1001590263186594,-2.7118244675949716,0.5115064149576527,-1.8414002780832235,-3.1842380536013,-0.4985625025651472,-0.7412412517645641,0.4298391903071206,0.3745927220359727,278,0.9584885371262465
LAB_phase3,rot_mag_deg,-1.4927977723698345,-3.5082661290756487,0.52267058433598,-1.5551236745122337,-3.142993831788009,0.03274648276354153,-0.06232590214239908,0.9584885371262465,0.36657872538402925,278,0.9584885371262465
LAB_phase3,trans_mag_mm,-0.6594418712188064,-2.158871169827446,0.8399874273898329,-0.8118369883975428,-2.1230109422947456,0.4993369654996601,-0.15239511717873644,0.864437689366939,0.3100393082608587,278,0.9584885371262465
