load_case,metric,median_delta,ci95_low,ci95_high,p_value,wilcoxon_p_value,cohen_dz,p_fdr_bh
SP1leg,ap_trans_abs_mm,0.024210551092336996,0.013625145250149781,0.03858344977173456,3.3662611705427447e-06,7.593891771692316e-13,0.5345640495875679,4.488348227390326e-06
SP1leg,ml_trans_abs_mm,0.14413675722722968,0.1235850252737824,0.16046638018414566,1.7174267235576696e-58,4.40637369497389e-45,1.3483543430847147,3.434853447115339e-58
SP1leg,cc_trans_abs_mm,0.43918910368985037,0.41614278781687886,0.4713569179119797,1.5970606274779928e-79,2.580221442677115e-47,2.0099883543620782,4.7911818824339783e-79
LAB_phase1,ap_trans_abs_mm,-0.30318687298241015,-0.3217210720477683,-0.26951809819949524,5.597510689503788e-74,3.607526060791816e-47,-1.8268347889841123,1.3434025654809089e-73
LAB_phase1,ml_trans_abs_mm,-0.006891446047361052,-0.0175319133895092,0.0015664636132372012,0.25443428256836287,0.0024022417865652893,-0.24635938044654657,0.25443428256836287
LAB_phase1,cc_trans_abs_mm,-0.8535383517422188,-0.8856763594044638,-0.8168880726261356,1.148934853969264e-81,2.4443261748793606e-47,-4.470337241760587,4.595739415877056e-81
LAB_phase2,ap_trans_abs_mm,-0.18126360220450444,-0.20733454878648142,-0.1566379337378337,9.43162727627459e-32,1.1527325094526004e-35,-1.0614963868971143,1.6168503902185009e-31
LAB_phase2,ml_trans_abs_mm,0.052249440655372806,0.046563977380885704,0.06068270299299479,8.983661815723027e-26,3.620298142776662e-21,0.28687302034972456,1.3475492723584541e-25
LAB_phase2,cc_trans_abs_mm,-0.8771980975706641,-0.9003812202825523,-0.8409101021735534,1.148934853969264e-81,2.4978077426601063e-47,-4.061893411569222,4.595739415877056e-81
LAB_phase3,ap_trans_abs_mm,0.03161894580125538,0.017673266929144456,0.043485905966861374,9.026609445577945e-05,1.8247355335374026e-05,0.2752540040700542,0.00010831931334693534
LAB_phase3,ml_trans_abs_mm,0.010685701576606643,0.003053055126508303,0.016721734759145707,0.006849966322085321,0.09158920584658384,-0.06215735700688794,0.007472690533183987
LAB_phase3,cc_trans_abs_mm,-0.5559359644497615,-0.5859222059217047,-0.5373271020704405,1.148934853969264e-81,2.4443261748793606e-47,-3.568583056649558,4.595739415877056e-81
