outcome,term,beta,ci95_low,ci95_high,p_value,beta_std,p_fdr_bh
rot_mag_deg,"C(load_case, Treatment(reference='SP2leg'))[T.SP1leg]",1.0869636651088561,1.0481336451643506,1.1257936850533616,0.0,1.6669520494572487,0.0
rot_mag_deg,"C(load_case, Treatment(reference='SP2leg'))[T.LAB_phase1]",-0.7463715742276487,-0.7642586422172835,-0.7284845062380139,0.0,-1.1446248529299372,0.0
rot_mag_deg,"C(load_case, Treatment(reference='SP2leg'))[T.LAB_phase2]",-0.24124390912972168,-0.2595888265023298,-0.22289899175711358,1.717230950514229e-146,-0.36996823504913945,8.586154752571144e-146
rot_mag_deg,"C(load_case, Treatment(reference='SP2leg'))[T.LAB_phase3]",-0.10401198209212034,-0.11928004607370882,-0.08874391811053187,1.152552521762496e-40,-0.15951129948691223,4.32207195660936e-40
rot_mag_deg,sex_F,0.011001504615642962,-0.04590954575708579,0.06791255498837172,0.7047757492743107,0.016871751333401186,0.7047757492743107
rot_mag_deg,age_z,0.017894500375625608,0.004049461836843467,0.03173953891440775,0.011301888253718449,0.02744275179812492,0.016952832380577675
rot_mag_deg,log_total_volume_z,-0.11834178278614882,-0.14225568170275257,-0.09442788386954507,3.038788266350468e-22,-0.18148727844737933,7.59697066587617e-22
rot_mag_deg,"C(load_case, Treatment(reference='SP2leg'))[T.SP1leg]:log_total_volume_z",-0.11464956222701878,-0.16255476838461058,-0.06674435606942698,2.722702084201626e-06,-0.1758249414018508,4.537836807002711e-06
rot_mag_deg,"C(load_case, Treatment(reference='SP2leg'))[T.LAB_phase1]:log_total_volume_z",0.10899902195473533,0.09027733131828444,0.12772071259118623,3.6825475063464844e-30,0.1671593530388018,1.1047642519039453e-29
rot_mag_deg,"C(load_case, Treatment(reference='SP2leg'))[T.LAB_phase2]:log_total_volume_z",0.08564703431010287,0.06727573699351772,0.10401833162668803,6.399721023726396e-20,0.13134707622343833,1.3713687907985134e-19
rot_mag_deg,"C(load_case, Treatment(reference='SP2leg'))[T.LAB_phase3]:log_total_volume_z",-0.01534543653486493,-0.03104429510113875,0.00035342203140888845,0.055385450449392325,-0.023533543670981448,0.06923181306174041
rot_mag_deg,AP_z,-0.0087762597324866,-0.024261446347620085,0.006708926882646885,0.2666486717811697,-0.013459147363653855,0.2856950054798247
rot_mag_deg,BiischiadicWidth_z,0.0479951400495573,0.031037070945075435,0.06495320915403917,2.903839007830289e-08,0.07360466558151683,5.444698139681792e-08
rot_mag_deg,SubpubicAngle_z,0.016426117695062005,-0.009811615633506722,0.04266385102363073,0.219809694548465,0.025190860960073707,0.2536265706328442
rot_mag_deg,sex_F:log_total_volume_z,-0.0362853450926157,-0.06789850279031398,-0.0046721873949174195,0.024472318642242464,-0.05564669023351551,0.03337134360305791
trans_mag_mm,"C(load_case, Treatment(reference='SP2leg'))[T.SP1leg]",0.6046471849593376,0.579151494314892,0.6301428756037831,0.0,1.0137978719181557,0.0
trans_mag_mm,"C(load_case, Treatment(reference='SP2leg'))[T.LAB_phase1]",-0.9067101244632167,-0.9268432475372355,-0.886577001389198,0.0,-1.5202597770950868,0.0
trans_mag_mm,"C(load_case, Treatment(reference='SP2leg'))[T.LAB_phase2]",-0.7920577445727083,-0.8117731020116912,-0.7723423871337254,0.0,-1.328024798359238,0.0
trans_mag_mm,"C(load_case, Treatment(reference='SP2leg'))[T.LAB_phase3]",-0.47782109406622675,-0.4942177318508813,-0.4614244562815722,0.0,-0.8011515150848201,0.0
trans_mag_mm,sex_F,0.04613839731662088,0.0029572636016289983,0.08931953103161276,0.03624285483999435,0.07735917767722668,0.045303568549992936
trans_mag_mm,age_z,0.012791401562209167,0.001637699573829355,0.02394510355058898,0.024592406166278363,0.02144704549230672,0.03353509931765231
trans_mag_mm,log_total_volume_z,-0.10336223712226358,-0.12406306923701768,-0.08266140500750949,1.2882249668137114e-22,-0.17330505894656145,2.760482071743667e-22
trans_mag_mm,"C(load_case, Treatment(reference='SP2leg'))[T.SP1leg]:log_total_volume_z",-0.06613878252089796,-0.09631924146137345,-0.03595832358042246,1.7457438449572583e-05,-0.11089335837303783,2.6186157674358877e-05
trans_mag_mm,"C(load_case, Treatment(reference='SP2leg'))[T.LAB_phase1]:log_total_volume_z",0.11759298876251667,0.09925995250211181,0.13592602502292153,3.020328125801829e-36,0.1971654292377994,7.550820314504572e-36
trans_mag_mm,"C(load_case, Treatment(reference='SP2leg'))[T.LAB_phase2]:log_total_volume_z",0.10896241776132698,0.0920307977493169,0.12589403777333708,1.7852397098854925e-36,0.18269475157304993,5.355719129656478e-36
trans_mag_mm,"C(load_case, Treatment(reference='SP2leg'))[T.LAB_phase3]:log_total_volume_z",0.0405736502510103,0.023957702619304595,0.057189597882716006,1.7019069315403801e-06,0.06802889569921995,2.8365115525673e-06
trans_mag_mm,AP_z,-0.004107215809713571,-0.01623767621920035,0.008023244599773206,0.5069346655288218,-0.006886473221034015,0.5069346655288218
trans_mag_mm,BiischiadicWidth_z,0.0673268295686309,0.0520783904351926,0.08257526870206919,4.977758449897216e-18,0.1128853292259428,9.33329709355728e-18
trans_mag_mm,SubpubicAngle_z,0.012443124142532604,-0.0078087668710656415,0.03269501515613085,0.22849801379066725,0.020863096843097353,0.2448193004900006
trans_mag_mm,sex_F:log_total_volume_z,-0.021591912703257866,-0.04467316758736327,0.0014893421808475395,0.06672895391232476,-0.03620265783702848,0.07699494682191318
